Track Name,,Line name,1150114XYLDN,Report Name,Wear_right,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
386,101.703500,17.9,25.6,30.0,23.2,
387,101.703250,inf,inf,inf,inf,
388,101.703000,inf,inf,inf,inf,
389,101.702750,17.8,25.6,30.0,23.1,
390,101.702500,inf,inf,inf,inf,
391,101.702250,inf,inf,inf,inf,
392,101.702000,17.2,25.5,30.0,22.6,
393,101.701750,inf,inf,inf,inf,
394,101.701500,inf,inf,inf,inf,
395,101.701250,16.1,25.4,30.0,21.6,
396,101.701000,inf,inf,inf,inf,
397,101.700750,inf,inf,inf,inf,
398,101.700500,14.7,25.2,30.0,20.4,
399,101.700250,inf,inf,inf,inf,
400,101.700000,inf,inf,inf,inf,
401,101.699750,13.7,25.1,29.8,19.4,
402,101.699500,inf,inf,inf,inf,
403,101.699250,inf,inf,inf,inf,
404,101.699000,12.7,25.0,29.1,18.5,
405,101.698750,inf,inf,inf,inf,
406,101.698500,inf,inf,inf,inf,
407,101.698250,12.7,25.0,29.1,18.5,
408,101.698000,inf,inf,inf,inf,
409,101.697750,inf,inf,inf,inf,
410,101.697500,13.9,25.2,29.9,19.6,
411,101.697250,inf,inf,inf,inf,
412,101.697000,inf,inf,inf,inf,
413,101.696750,13.9,25.2,29.9,19.7,
414,101.696500,inf,inf,inf,inf,
415,101.696250,inf,inf,inf,inf,
416,101.696000,13.1,25.0,29.3,18.8,
417,101.695750,inf,inf,inf,inf,
418,101.695500,inf,inf,inf,inf,
419,101.695250,inf,inf,inf,inf,
420,101.695000,inf,inf,inf,inf,
421,101.694750,inf,inf,inf,inf,
422,101.694500,inf,inf,inf,inf,
423,101.694250,inf,inf,inf,inf,
424,101.694000,inf,inf,inf,inf,
425,101.693750,inf,inf,inf,inf,
426,101.693500,inf,inf,inf,inf,
427,101.693250,inf,inf,inf,inf,
428,101.693000,inf,inf,inf,inf,
429,101.692750,inf,inf,inf,inf,
430,101.692500,inf,inf,inf,inf,
431,101.692250,17.1,25.5,30.0,22.5,
432,101.692000,inf,inf,inf,inf,
433,101.691750,inf,inf,inf,inf,
434,101.691500,16.1,25.4,30.0,21.5,
435,101.691250,inf,inf,inf,inf,
436,101.691000,inf,inf,inf,inf,
437,101.690750,16.5,25.4,30.0,22.0,
438,101.690500,inf,inf,inf,inf,
439,101.690250,inf,inf,inf,inf,
440,101.690000,16.1,25.4,30.0,21.7,
441,101.689750,inf,inf,inf,inf,
442,101.689500,inf,inf,inf,inf,
443,101.689250,14.8,25.3,30.0,20.5,
444,101.689000,inf,inf,inf,inf,
445,101.688750,inf,inf,inf,inf,
446,101.688500,13.5,25.1,29.6,19.3,
447,101.688250,inf,inf,inf,inf,
448,101.688000,inf,inf,inf,inf,
449,101.687750,12.4,25.0,28.9,18.3,
450,101.687500,inf,inf,inf,inf,
451,101.687250,inf,inf,inf,inf,
452,101.687000,12.1,24.9,28.7,18.0,
453,101.686750,inf,inf,inf,inf,
454,101.686500,inf,inf,inf,inf,
455,101.686250,inf,inf,inf,inf,
456,101.686000,inf,inf,inf,inf,
457,101.685750,inf,inf,inf,inf,
458,101.685500,12.1,25.0,28.7,18.0,
459,101.685250,inf,inf,inf,inf,
460,101.685000,inf,inf,inf,inf,
461,101.684750,inf,inf,inf,inf,
462,101.684500,inf,inf,inf,inf,
463,101.684250,inf,inf,inf,inf,
464,101.684000,inf,inf,inf,inf,
465,101.683750,inf,inf,inf,inf,
466,101.683500,inf,inf,inf,inf,
467,101.683250,inf,inf,inf,inf,
468,101.683000,inf,inf,inf,inf,
469,101.682750,inf,inf,inf,inf,
470,101.682500,inf,inf,inf,inf,
471,101.682250,inf,inf,inf,inf,
472,101.682000,inf,inf,inf,inf,
473,101.681750,inf,inf,inf,inf,
474,101.681500,inf,inf,inf,inf,
475,101.681250,inf,inf,inf,inf,
476,101.681000,inf,inf,inf,inf,
477,101.680750,inf,inf,inf,inf,
478,101.680500,inf,inf,inf,inf,
479,101.680250,inf,inf,inf,inf,
480,101.680000,inf,inf,inf,inf,
481,101.679750,inf,inf,inf,inf,
482,101.679500,inf,inf,inf,inf,
483,101.679250,inf,inf,inf,inf,
484,101.679000,inf,inf,inf,inf,
485,101.678750,13.4,25.1,29.6,19.3,
486,101.678500,inf,inf,inf,inf,
487,101.678250,inf,inf,inf,inf,
488,101.678000,9.3,4.0,17.1,-22.5,
489,101.677750,inf,inf,inf,inf,
490,101.677500,inf,inf,inf,inf,
491,101.677250,inf,inf,inf,inf,
492,101.677000,inf,inf,inf,inf,
493,101.676750,inf,inf,inf,inf,
494,101.676500,inf,inf,inf,inf,
495,101.676250,inf,inf,inf,inf,
496,101.676000,inf,inf,inf,inf,
497,101.675750,inf,inf,inf,inf,
498,101.675500,inf,inf,inf,inf,
499,101.675250,inf,inf,inf,inf,
500,101.675000,inf,inf,inf,inf,
501,101.674750,inf,inf,inf,inf,
502,101.674500,inf,inf,inf,inf,
503,101.674250,18.6,25.7,30.0,23.9,
504,101.674000,inf,inf,inf,inf,
505,101.673750,inf,inf,inf,inf,
506,101.673500,inf,inf,inf,inf,
507,101.673250,inf,inf,inf,inf,
508,101.673000,inf,inf,inf,inf,
509,101.672750,inf,inf,inf,inf,
510,101.672500,inf,inf,inf,inf,
511,101.672250,inf,inf,inf,inf,
512,101.672000,inf,inf,inf,inf,
513,101.671750,inf,inf,inf,inf,
514,101.671500,inf,inf,inf,inf,
515,101.671250,inf,inf,inf,inf,
516,101.671000,inf,inf,inf,inf,
517,101.670750,inf,inf,inf,inf,
518,101.670500,inf,inf,inf,inf,
519,101.670250,inf,inf,inf,inf,
520,101.670000,inf,inf,inf,inf,
521,101.669750,21.4,26.0,30.0,26.3,
522,101.669500,inf,inf,inf,inf,
523,101.669250,inf,inf,inf,inf,
524,101.669000,inf,inf,inf,inf,
525,101.668750,inf,inf,inf,inf,
526,101.668500,inf,inf,inf,inf,
527,101.668250,inf,inf,inf,inf,
528,101.668000,inf,inf,inf,inf,
529,101.667750,inf,inf,inf,inf,
530,101.667500,19.9,15.0,29.8,13.3,
531,101.667250,inf,inf,inf,inf,
532,101.667000,inf,inf,inf,inf,
533,101.666750,inf,inf,inf,inf,
534,101.666500,inf,inf,inf,inf,
535,101.666250,inf,inf,inf,inf,
536,101.666000,inf,inf,inf,inf,
537,101.665750,inf,inf,inf,inf,
538,101.665500,inf,inf,inf,inf,
539,101.665250,inf,inf,inf,inf,
540,101.665000,inf,inf,inf,inf,
541,101.664750,inf,inf,inf,inf,
542,101.664500,inf,inf,inf,inf,
543,101.664250,inf,inf,inf,inf,
544,101.664000,inf,inf,inf,inf,
545,101.663750,inf,inf,inf,inf,
546,101.663500,inf,inf,inf,inf,
547,101.663250,inf,inf,inf,inf,
548,101.663000,inf,inf,inf,inf,
549,101.662750,inf,inf,inf,inf,
550,101.662500,inf,inf,inf,inf,
