Track Name,,Line name,1150114XYLDN1,Report Name,Wear_right,Operator,
Starting Km,100.971,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 02:15:28

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
400,100.871000,0.0,0.0,0.8,0.5,
401,100.870750,0.5,0.3,1.1,0.7,
402,100.870500,0.5,0.0,0.7,0.4,
403,100.870250,0.2,0.0,0.7,0.4,
404,100.870000,0.9,0.0,0.9,0.5,
405,100.869750,0.0,0.0,0.8,0.3,
406,100.869500,0.0,0.3,1.1,0.6,
407,100.869250,0.0,0.2,1.0,0.5,
408,100.869000,0.0,0.3,1.1,0.6,
409,100.868750,0.7,0.3,1.1,0.6,
410,100.868500,0.4,0.3,1.1,0.6,
411,100.868250,0.2,0.3,1.0,0.6,
412,100.868000,0.3,0.2,1.0,0.6,
413,100.867750,0.0,0.3,1.1,0.7,
414,100.867500,0.8,0.5,1.2,0.8,
415,100.867250,0.0,0.3,1.0,0.7,
416,100.867000,0.3,0.3,1.0,0.7,
417,100.866750,0.1,0.3,1.0,0.6,
418,100.866500,0.6,0.4,1.2,0.8,
419,100.866250,1.1,0.1,1.1,0.6,
420,100.866000,1.2,0.0,1.1,0.5,
421,100.865750,1.2,0.1,1.2,0.6,
422,100.865500,0.0,0.3,1.2,0.6,
423,100.865250,1.3,0.1,1.2,0.7,
424,100.865000,1.2,0.2,1.3,0.7,
425,100.864750,1.0,0.2,1.3,0.7,
426,100.864500,0.1,0.6,1.5,0.8,
427,100.864250,1.5,0.8,1.8,1.1,
428,100.864000,0.2,0.6,1.6,0.9,
429,100.863750,0.2,0.5,1.5,0.8,
430,100.863500,0.4,0.7,1.6,0.9,
431,100.863250,1.0,0.4,1.5,0.8,
432,100.863000,1.6,0.3,1.6,0.8,
433,100.862750,0.5,0.9,1.8,1.1,
434,100.862500,0.8,0.3,1.4,0.7,
435,100.862250,0.3,0.5,1.5,0.8,
436,100.862000,1.2,0.5,1.6,0.9,
437,100.861750,0.4,0.6,1.5,0.9,
438,100.861500,0.3,0.4,1.3,0.7,
439,100.861250,0.9,0.4,1.3,0.8,
440,100.861000,0.8,0.4,1.3,0.8,
441,100.860750,0.0,0.4,1.2,0.7,
442,100.860500,0.9,0.4,1.3,0.8,
443,100.860250,0.0,0.5,1.3,0.8,
444,100.860000,0.9,0.6,1.4,0.9,
445,100.859750,0.5,0.8,1.5,1.0,
446,100.859500,0.0,0.6,1.3,0.8,
447,100.859250,0.0,0.5,1.3,0.8,
448,100.859000,1.1,0.4,1.3,0.8,
449,100.858750,0.1,0.5,1.3,0.7,
450,100.858500,0.6,0.6,1.4,0.8,
451,100.858250,1.0,0.7,1.5,1.0,
452,100.858000,0.4,0.6,1.3,0.8,
453,100.857750,1.1,0.4,1.3,0.8,
454,100.857500,0.2,0.6,1.3,0.8,
455,100.857250,0.9,0.2,1.1,0.7,
456,100.857000,0.0,0.5,1.2,0.7,
457,100.856750,0.0,0.7,1.4,0.9,
458,100.856500,0.7,0.4,1.4,0.9,
459,100.856250,0.9,1.2,2.1,1.3,
460,100.856000,0.3,0.9,1.5,1.1,
461,100.855750,0.5,0.9,1.6,1.1,
462,100.855500,1.0,0.9,1.7,1.2,
463,100.855250,0.3,0.5,1.2,0.9,
464,100.855000,0.3,0.7,1.4,1.0,
465,100.854750,0.0,0.9,1.5,1.1,
466,100.854500,0.6,0.6,1.3,0.9,
467,100.854250,1.4,0.4,1.3,0.8,
468,100.854000,0.8,0.6,1.5,0.9,
469,100.853750,0.2,0.6,1.4,0.8,
470,100.853500,1.6,0.5,1.6,0.8,
471,100.853250,1.4,0.6,1.6,1.0,
472,100.853000,0.8,0.6,1.4,0.9,
473,100.852750,0.4,0.6,1.4,0.8,
474,100.852500,0.2,0.8,1.5,1.0,
475,100.852250,1.3,0.6,1.4,1.0,
476,100.852000,0.4,0.7,1.3,1.0,
477,100.851750,0.1,0.7,1.2,0.9,
478,100.851500,0.5,0.3,0.9,0.7,
479,100.851250,0.3,0.5,1.1,0.8,
480,100.851000,0.0,0.8,1.3,1.0,
481,100.850750,0.7,0.7,1.4,1.1,
482,100.850500,1.0,0.7,1.3,1.0,
483,100.850250,0.5,0.4,1.1,0.8,
484,100.850000,0.0,0.3,0.8,0.7,
485,100.849750,0.0,0.2,0.8,0.6,
486,100.849500,0.2,0.1,0.8,0.5,
487,100.849250,0.0,0.0,0.7,0.4,
488,100.849000,0.0,0.2,0.9,0.6,
