Track Name,,Line name,1141219NKLDN1,Report Name,Wear_right,Operator,
Starting Km,105.060,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:43:23

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
485,104.938750,6.2,0.3,6.4,0.5,
486,104.938500,6.1,0.3,6.4,0.4,
487,104.938250,6.7,0.6,6.4,0.7,
488,104.938000,6.5,0.6,6.6,0.6,
489,104.937750,5.9,0.7,6.6,0.7,
490,104.937500,7.2,0.5,6.6,0.8,
491,104.937250,6.5,0.3,6.7,0.5,
492,104.937000,7.0,0.4,6.9,0.6,
493,104.936750,7.5,0.5,6.9,0.7,
494,104.936500,7.7,0.6,7.4,0.7,
495,104.936250,8.2,0.5,7.9,0.6,
496,104.936000,8.4,1.4,8.0,1.5,
497,104.935750,7.9,1.0,7.6,1.1,
498,104.935500,7.2,1.0,7.3,1.0,
499,104.935250,7.4,1.7,7.4,1.7,
500,104.935000,6.8,1.0,6.9,1.0,
501,104.934750,6.4,0.7,6.5,0.7,
502,104.934500,5.9,1.5,6.8,1.4,
503,104.934250,6.0,0.8,6.5,0.8,
504,104.934000,5.7,0.9,6.5,0.8,
505,104.933750,6.5,1.2,6.6,1.2,
506,104.933500,6.0,0.9,6.5,0.9,
507,104.933250,5.7,0.9,6.4,0.9,
508,104.933000,5.9,1.1,6.5,1.0,
509,104.932750,6.6,0.7,6.3,0.8,
510,104.932500,6.3,0.8,6.3,0.8,
511,104.932250,5.8,1.2,6.4,1.1,
512,104.932000,6.3,0.7,6.3,0.7,
513,104.931750,6.1,0.5,6.2,0.6,
514,104.931500,5.5,1.2,6.3,1.0,
515,104.931250,5.2,0.7,5.9,0.6,
516,104.931000,6.0,0.7,6.1,0.7,
517,104.930750,5.3,1.1,6.1,1.0,
518,104.930500,6.3,0.7,6.1,0.7,
519,104.930250,6.2,0.4,5.9,0.6,
520,104.930000,5.7,1.1,6.0,1.0,
521,104.929750,5.5,0.7,5.9,0.7,
522,104.929500,5.5,0.8,6.0,0.7,
523,104.929250,5.6,1.1,6.1,1.1,
524,104.929000,5.1,0.7,5.8,0.7,
525,104.928750,5.3,0.4,5.6,0.5,
526,104.928500,5.1,1.2,5.9,1.1,
527,104.928250,5.6,0.5,5.7,0.7,
528,104.928000,6.2,0.5,5.7,0.8,
529,104.927750,5.1,1.1,5.9,1.1,
530,104.927500,5.5,0.8,5.8,0.8,
531,104.927250,5.6,0.6,5.7,0.8,
532,104.927000,5.2,1.1,5.8,1.1,
533,104.926750,5.6,0.6,5.6,0.7,
534,104.926500,5.6,0.5,5.7,0.7,
535,104.926250,5.4,1.3,6.1,1.3,
536,104.926000,6.4,0.7,5.8,0.9,
537,104.925750,5.5,0.8,5.9,1.0,
538,104.925500,5.8,1.4,6.2,1.4,
539,104.925250,5.5,1.1,6.2,1.0,
540,104.925000,5.9,0.9,6.2,0.8,
541,104.924750,6.5,1.5,6.5,1.4,
542,104.924500,5.9,1.0,6.2,0.9,
543,104.924250,5.6,1.1,6.3,0.9,
544,104.924000,5.8,1.6,6.6,1.4,
545,104.923750,6.1,1.0,6.3,0.9,
546,104.923500,6.5,0.7,6.2,0.8,
547,104.923250,5.4,1.3,6.3,1.1,
548,104.923000,6.6,0.9,6.2,0.9,
549,104.922750,5.5,1.0,6.2,0.8,
550,104.922500,6.2,1.7,6.6,1.5,
551,104.922250,5.5,0.8,6.1,0.8,
552,104.922000,5.6,0.8,6.0,0.7,
553,104.921750,5.9,1.3,6.2,1.3,
554,104.921500,5.4,0.7,6.0,0.7,
555,104.921250,6.0,0.7,6.0,0.9,
556,104.921000,5.6,0.9,5.9,1.1,
